timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-136,-2032,-488,3,65,-7
5,-112,-2008,-472,0,65,-8
10,-104,-2040,-472,-3,66,-6
15,-104,-2032,-480,-5,65,-7
20,-112,-2032,-472,-7,64,-6
25,-88,-2024,-488,-8,63,-6
30,-136,-2016,-472,-10,62,-6
35,-112,-2032,-464,-10,62,-5
40,-96,-2032,-472,-12,63,-5
45,-96,-2048,-448,-12,66,-4
50,-104,-2000,-464,-14,68,-4
55,-104,-2040,-464,-15,70,0
60,-128,-2032,-472,-18,70,-1
65,-104,-2032,-472,-19,70,-1
70,-104,-2040,-472,-19,67,-2
75,-120,-2024,-504,-20,64,-2
80,-112,-2032,-488,-20,63,-3
85,-120,-2024,-480,-20,62,-2
90,-112,-2024,-488,-21,62,-3
95,-104,-2040,-464,-20,63,-4
100,-104,-2048,-464,-17,62,-4
105,-120,-2040,-464,-17,64,-4
110,-112,-2040,-456,-15,66,-3
115,-112,-2048,-472,-14,67,-3
120,-104,-2064,-488,-11,69,-4
125,-96,-2056,-472,-10,70,-1
130,-144,-2048,-520,-8,72,-2
135,-120,-2032,-464,-6,72,-3
140,-128,-2040,-464,-6,74,-3
145,-96,-2032,-488,-5,74,-4
150,-112,-2016,-472,-7,74,-4
155,-120,-2040,-496,-7,74,-4
160,-96,-2040,-496,-7,74,-4
165,-96,-2048,-456,-9,73,-4
170,-120,-2032,-456,-11,72,-4
175,-112,-2040,-472,-12,70,-3
180,-120,-2048,-480,-12,69,-2
185,-88,-2040,-464,-14,69,-3
190,-96,-2024,-472,-14,68,-2
195,-112,-2024,-488,-15,67,-3
200,-104,-2024,-456,-15,69,-3
205,-104,-2032,-448,-14,70,-4
210,-88,-2040,-464,-13,71,-2
215,-96,-2032,-464,-14,72,-4
220,-80,-2048,-480,-14,71,-3
225,-112,-2032,-464,-14,71,-3
230,-104,-2040,-472,-17,70,-5
235,-88,-2048,-456,-18,69,-4
240,-104,-2016,-520,-18,69,-2
245,-96,-2032,-480,-18,68,-3
250,-96,-2048,-464,-18,70,-3
255,-96,-2040,-488,-17,71,-5
260,-104,-2024,-464,-16,72,-4
265,-104,-2040,-488,-15,71,-4
270,-112,-2040,-488,-16,70,-6
275,-104,-2008,-464,-17,72,-4
280,-96,-2040,-472,-18,71,-4
285,-104,-2024,-464,-20,73,-5
290,-80,-2040,-464,-20,73,-4
295,-112,-2040,-480,-19,76,-4
300,-112,-2040,-480,-18,75,-5
305,-96,-2048,-472,-17,74,-4
310,-120,-2048,-504,-15,74,-3
315,-112,-2048,-480,-16,73,-4
320,-112,-2032,-480,-15,73,-5
325,-128,-2040,-488,-16,73,-5
330,-104,-2032,-448,-15,71,-5
335,-88,-2032,-472,-15,71,-4
340,-104,-2048,-480,-15,70,-2
345,-96,-2032,-464,-15,69,-4
350,-120,-2080,-456,-14,70,-2
355,-104,-2040,-472,-13,71,-4
360,-120,-2056,-488,-13,71,-2
365,-96,-2056,-472,-13,71,-3
370,-96,-2048,-472,-16,71,-3
375,-88,-2040,-480,-17,73,-2
380,-96,-2024,-472,-19,73,-3
385,-104,-2032,-440,-21,74,-4
390,-96,-2040,-472,-22,76,-4
395,-128,-2040,-488,-21,77,-2
400,-88,-2056,-456,-18,78,-2
405,-88,-2064,-496,-17,78,-2
410,-136,-2048,-464,-14,77,-2
415,-104,-2056,-480,-13,77,-1
420,-120,-2024,-488,-15,78,-2
425,-104,-2024,-464,-16,79,-2
430,-104,-2040,-480,-16,78,-2
435,-104,-2056,-464,-18,77,-2
440,-112,-2016,-480,-18,78,-2
445,-112,-2048,-472,-17,79,-2
450,-112,-2024,-472,-16,79,-3
455,-112,-2024,-464,-15,78,-3
460,-120,-2040,-472,-17,77,-3
465,-104,-2016,-472,-17,77,-2
470,-96,-2040,-472,-18,77,-3
475,-96,-2016,-480,-20,77,-4
480,-96,-2040,-448,-20,80,-3
485,-120,-2032,-472,-21,82,-3
490,-112,-2032,-488,-19,81,-3
495,-112,-2040,-480,-18,83,-4
500,-120,-2024,-456,-16,84,-4
505,-120,-2032,-488,-15,86,-5
510,-96,-2024,-496,-16,85,-4
515,-104,-2016,-488,-15,83,-4
520,-112,-2032,-464,-17,80,-3
525,-112,-2040,-464,-17,79,-3
530,-120,-2024,-464,-18,76,-3
535,-96,-2040,-464,-18,73,-1
540,-96,-2048,-472,-17,74,-1
545,-112,-2008,-440,-17,73,0
550,-128,-2040,-448,-18,74,2
555,-104,-2032,-472,-20,73,2
560,-120,-2048,-464,-19,75,1
565,-272,-2024,-624,-20,76,-1
570,-216,-2024,-456,-21,78,2
575,-64,-2016,-408,-21,78,1
580,-24,-2000,-424,-18,79,1
585,-64,-1944,-496,-18,80,-1
590,-40,-2080,-496,-16,80,0
595,-176,-2040,-512,-13,79,-1
600,-72,-2064,-504,-11,78,-1
605,-88,-2000,-408,-12,80,-2
610,-72,-2016,-456,-11,80,-3
