timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,416,-2152,-384,-94,-102,19
5,392,-2112,-408,-73,-95,19
10,392,-2096,-392,-52,-87,19
15,416,-2096,-384,-36,-79,20
20,416,-2088,-416,-30,-70,18
25,416,-2112,-408,-27,-61,15
30,408,-2096,-432,-31,-52,11
35,408,-2096,-432,-33,-45,7
40,408,-2088,-424,-34,-36,6
45,416,-2088,-432,-31,-29,4
50,432,-2088,-424,-31,-22,-2
55,424,-2128,-440,-21,-17,-4
60,440,-2088,-488,-12,-13,-7
65,440,-2104,-456,-4,-9,-9
70,416,-2024,-488,5,-2,-10
75,416,-2088,-432,10,-1,-11
80,408,-2064,-456,14,2,-13
85,400,-2080,-472,18,5,-14
90,408,-2056,-448,19,9,-14
95,392,-2088,-456,15,16,-17
100,408,-2064,-472,8,26,-20
105,400,-2064,-464,2,34,-21
110,424,-2088,-456,-3,44,-20
115,392,-2104,-464,-8,51,-19
120,408,-2096,-472,-10,59,-20
125,408,-2112,-448,-11,63,-19
130,400,-2104,-488,-3,68,-21
135,424,-2104,-496,9,73,-21
140,400,-2072,-512,17,77,-21
145,368,-2088,-472,20,82,-23
150,392,-2072,-480,19,84,-25
155,392,-2096,-448,19,87,-25
160,416,-2080,-464,16,87,-23
165,392,-2064,-456,10,89,-22
170,416,-2088,-448,2,91,-20
175,416,-2080,-480,-6,92,-20
180,400,-2080,-432,-8,92,-20
185,376,-2088,-440,-6,92,-20
190,392,-2072,-424,-2,92,-19
195,400,-2088,-440,6,93,-18
200,392,-2088,-448,9,95,-17
205,392,-2080,-440,10,95,-16
210,384,-2080,-448,7,95,-15
215,360,-2064,-464,3,94,-13
220,408,-2080,-440,4,93,-12
225,408,-2064,-432,5,91,-11
230,400,-2056,-448,3,90,-12
235,408,-2032,-448,-4,90,-10
240,384,-2048,-448,-11,90,-10
245,408,-2096,-432,-16,91,-9
250,400,-2064,-448,-16,94,-10
255,400,-2064,-440,-16,95,-13
260,400,-2080,-480,-18,96,-14
265,408,-2080,-464,-24,99,-15
270,400,-2064,-448,-27,102,-16
275,400,-2080,-424,-32,104,-20
280,400,-2080,-432,-35,105,-23
285,376,-2064,-448,-33,107,-26
290,392,-2072,-416,-31,107,-28
295,368,-2072,-416,-30,107,-30
300,360,-2056,-448,-30,106,-29
305,368,-2072,-448,-32,106,-30
310,392,-2072,-424,-33,108,-32
315,384,-2064,-448,-33,106,-33
320,384,-2080,-472,-34,106,-32
325,400,-2088,-472,-43,106,-27
330,360,-2120,-464,-54,104,-15
335,400,-2168,-400,-71,98,8
340,424,-2176,-400,-65,92,-3
345,392,-2160,-432,-48,93,-41
350,368,-2088,-360,-24,93,-51
