timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,8,-1864,-688,50,4,-3
5,8,-1864,-704,48,4,-5
10,8,-1872,-688,48,3,-5
15,16,-1896,-688,50,4,-5
20,16,-1864,-672,52,4,-6
25,72,-1872,-744,51,5,-6
30,16,-1848,-712,53,5,-6
35,8,-1840,-728,53,6,-5
40,16,-1856,-712,53,6,-6
45,0,-1872,-744,52,5,-7
50,0,-1848,-704,51,6,-6
55,16,-1856,-680,51,4,-5
60,8,-1832,-712,50,4,-6
65,8,-1840,-688,50,4,-6
70,16,-1872,-712,49,3,-6
75,16,-1832,-768,47,5,-6
80,0,-1856,-680,46,4,-6
85,16,-1848,-696,45,4,-6
90,0,-1832,-704,44,3,-6
95,24,-1872,-712,43,4,-7
100,8,-1872,-680,43,2,-8
105,16,-1864,-680,42,1,-7
110,8,-1904,-680,41,0,-7
115,0,-1888,-704,41,-1,-5
120,16,-1856,-656,42,-2,-6
125,8,-1864,-720,42,-2,-6
130,-16,-1832,-656,41,-2,-6
135,0,-1832,-664,42,-3,-4
140,0,-1856,-688,41,-4,-6
145,16,-1840,-656,41,-5,-6
150,0,-1864,-672,39,-7,-5
155,0,-1864,-680,38,-6,-6
160,16,-1848,-696,38,-6,-6
165,0,-1848,-680,37,-7,-5
170,0,-1856,-704,37,-8,-6
175,8,-1856,-648,36,-9,-5
180,0,-1848,-680,39,-8,-5
185,56,-1848,-616,38,-9,-4
190,0,-1848,-664,36,-9,-4
195,8,-1856,-664,35,-11,-4
200,16,-1880,-672,34,-14,-4
205,0,-1864,-672,30,-18,-5
210,8,-1880,-664,29,-20,-4
215,8,-1880,-680,27,-22,-5
220,8,-1896,-672,26,-21,-7
225,0,-1896,-664,25,-23,-7
230,0,-1904,-672,26,-24,-9
235,16,-1856,-648,28,-24,-11
240,0,-1920,-760,30,-24,-10
245,0,-1864,-648,34,-27,-13
250,8,-1872,-664,36,-27,-15
255,0,-1864,-704,39,-28,-15
260,16,-1888,-680,40,-26,-15
265,16,-1856,-664,42,-27,-15
270,8,-1856,-664,43,-29,-16
275,-16,-1816,-672,41,-29,-14
280,16,-1848,-672,40,-30,-14
285,16,-1856,-704,38,-32,-14
290,-8,-1864,-632,35,-32,-15
295,16,-1840,-680,34,-32,-15
300,0,-1832,-688,32,-32,-14
305,32,-1848,-688,31,-32,-14
310,24,-1832,-656,29,-32,-14
315,32,-1824,-664,25,-31,-11
320,16,-1816,-696,24,-29,-11
325,56,-1816,-656,22,-29,-12
330,56,-1840,-664,19,-27,-12
335,80,-1824,-672,14,-27,-11
340,56,-1840,-648,8,-27,-13
345,64,-1832,-648,3,-29,-12
350,8,-1776,-720,-1,-31,-10
355,24,-1864,-648,-2,-35,-9
360,24,-1872,-664,-6,-40,-9
365,32,-1896,-648,-8,-43,-8
370,16,-1880,-648,-8,-49,-7
375,0,-1872,-656,-9,-51,-7
380,8,-1888,-640,-7,-53,-5
385,0,-1888,-632,-4,-56,-5
390,0,-1912,-648,-1,-58,-6
395,8,-1896,-648,2,-59,-5
