timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-160,-1528,-1568,78,-231,-320
5,-160,-1504,-1544,74,-249,-346
10,-104,-1504,-1536,85,-266,-369
15,-112,-1480,-1528,98,-280,-390
20,-48,-1480,-1472,108,-296,-411
25,-56,-1464,-1568,110,-313,-429
30,-24,-1480,-1440,110,-324,-444
35,40,-1480,-1432,112,-336,-456
40,24,-1488,-1432,119,-345,-468
45,80,-1480,-1424,128,-353,-476
50,80,-1472,-1424,136,-358,-484
55,112,-1464,-1392,140,-361,-489
60,152,-1488,-1376,141,-360,-492
65,184,-1472,-1344,144,-358,-494
70,200,-1440,-1384,148,-358,-492
75,144,-1448,-1336,148,-355,-487
80,160,-1520,-1336,148,-351,-483
85,216,-1464,-1336,150,-344,-473
90,224,-1464,-1296,150,-339,-460
95,208,-1472,-1296,151,-333,-446
100,208,-1464,-1296,148,-325,-429
105,200,-1464,-1280,149,-315,-408
110,168,-1464,-1264,151,-305,-387
115,192,-1488,-1232,154,-296,-366
120,200,-1480,-1232,155,-286,-340
125,208,-1512,-1256,155,-278,-316
130,184,-1472,-1224,153,-271,-294
135,144,-1472,-1264,156,-266,-273
140,88,-1464,-1272,158,-265,-249
145,88,-1480,-1248,161,-266,-229
150,64,-1504,-1232,162,-270,-213
155,8,-1496,-1248,165,-275,-194
160,-8,-1504,-1240,170,-281,-177
165,-8,-1536,-1216,173,-290,-159
170,-56,-1536,-1240,175,-301,-143
175,-40,-1528,-1216,181,-313,-130
180,-112,-1536,-1240,187,-326,-123
185,-120,-1560,-1264,196,-344,-118
190,-120,-1560,-1216,203,-361,-115
195,-176,-1552,-1184,214,-380,-116
200,-184,-1552,-1224,225,-394,-113
205,-200,-1584,-1192,234,-409,-113
210,-200,-1584,-1200,243,-426,-117
215,-224,-1592,-1224,253,-440,-124
220,-208,-1560,-1264,264,-454,-132
225,-208,-1568,-1256,266,-462,-137
230,-216,-1576,-1240,268,-471,-143
235,-216,-1608,-1264,274,-480,-149
240,-208,-1624,-1296,281,-490,-154
245,-192,-1576,-1296,286,-496,-165
250,-176,-1584,-1288,293,-501,-172
255,-144,-1568,-1288,294,-508,-181
260,-128,-1560,-1328,292,-513,-189
265,-136,-1528,-1344,288,-513,-194
270,-104,-1528,-1352,282,-516,-200
275,-72,-1512,-1336,270,-518,-207
280,-96,-1512,-1352,257,-519,-214
285,-64,-1512,-1328,252,-522,-223
290,-72,-1544,-1296,252,-528,-234
295,-80,-1592,-1320,260,-533,-245
300,-56,-1584,-1256,272,-540,-251
305,-40,-1632,-1264,281,-544,-257
310,-64,-1632,-1224,289,-546,-263
315,-72,-1632,-1240,301,-549,-272
320,-88,-1640,-1208,314,-552,-283
325,-112,-1616,-1232,323,-549,-294
330,-120,-1592,-1216,324,-550,-302
335,-136,-1568,-1248,317,-553,-313
340,-176,-1576,-1232,307,-551,-326
345,-144,-1560,-1232,292,-545,-339
350,-136,-1560,-1216,277,-537,-349
355,-144,-1520,-1256,261,-530,-363
360,-112,-1512,-1280,245,-523,-375
365,-88,-1488,-1256,227,-513,-388
370,-80,-1504,-1328,208,-500,-402
375,-56,-1472,-1336,190,-485,-411
380,-24,-1504,-1352,169,-468,-416
385,32,-1504,-1352,145,-453,-423
390,48,-1536,-1344,125,-439,-432
395,96,-1568,-1360,109,-428,-438
400,112,-1560,-1368,102,-419,-443
405,152,-1552,-1416,101,-409,-444
410,160,-1568,-1400,106,-400,-441
415,176,-1552,-1448,115,-383,-433
420,184,-1560,-1408,120,-361,-420
425,208,-1544,-1416,123,-333,-405
430,208,-1568,-1392,126,-302,-390
435,232,-1568,-1400,133,-270,-373
440,232,-1592,-1400,146,-242,-357
445,240,-1584,-1368,160,-219,-341
450,240,-1576,-1368,173,-194,-324
455,208,-1544,-1376,186,-173,-307
460,224,-1592,-1312,195,-153,-293
465,200,-1584,-1344,198,-136,-280
470,184,-1600,-1320,199,-122,-265
475,184,-1584,-1344,202,-111,-253
480,184,-1584,-1312,209,-101,-243
485,152,-1552,-1288,216,-90,-232
490,96,-1552,-1296,222,-83,-224
495,80,-1528,-1296,227,-77,-215
500,72,-1552,-1272,232,-73,-206
505,24,-1552,-1264,235,-71,-196
510,0,-1544,-1216,237,-73,-184
515,48,-1576,-1168,233,-75,-173
520,-16,-1544,-1208,229,-81,-162
525,-24,-1536,-1216,222,-90,-152
530,-24,-1536,-1216,211,-99,-141
535,-56,-1520,-1240,196,-108,-131
540,-96,-1480,-1208,182,-119,-121
545,-128,-1512,-1200,169,-132,-117
550,-136,-1464,-1200,153,-146,-110
555,-144,-1472,-1176,136,-161,-105
560,-152,-1528,-1184,121,-178,-102
565,-152,-1496,-1176,104,-193,-101
570,-192,-1496,-1216,89,-205,-101
575,-208,-1488,-1216,74,-218,-103
580,-168,-1496,-1200,60,-228,-106
585,-200,-1488,-1224,50,-234,-110
590,-184,-1496,-1248,37,-236,-115
595,-160,-1520,-1264,25,-241,-123
600,-160,-1528,-1280,15,-242,-131
605,-120,-1528,-1232,6,-241,-139
610,-88,-1544,-1296,-1,-237,-150
615,-112,-1536,-1280,-4,-232,-158
620,-16,-1552,-1312,-4,-223,-170
625,-40,-1560,-1312,-2,-213,-180
630,-32,-1576,-1336,2,-203,-186
635,-32,-1576,-1304,6,-191,-195
640,-16,-1568,-1296,13,-180,-199
645,-8,-1592,-1280,19,-170,-203
650,8,-1624,-1304,23,-158,-203
655,0,-1600,-1344,28,-147,-202
660,16,-1608,-1296,32,-134,-200
665,16,-1600,-1304,35,-123,-197
670,48,-1600,-1264,39,-114,-193
675,80,-1592,-1248,42,-106,-187
680,64,-1632,-1296,42,-97,-175
685,56,-1656,-1264,45,-94,-171
690,64,-1640,-1272,51,-90,-164
695,40,-1624,-1264,53,-90,-156
700,40,-1616,-1264,56,-91,-149
705,40,-1600,-1216,58,-95,-142
710,24,-1600,-1232,60,-97,-133
715,8,-1600,-1240,63,-101,-125
720,-24,-1576,-1192,67,-105,-115
725,-32,-1568,-1192,70,-109,-110
730,-40,-1576,-1224,75,-114,-103
735,-32,-1592,-1232,79,-116,-98
740,-56,-1576,-1208,81,-120,-96
745,-56,-1584,-1184,80,-125,-94
750,-96,-1560,-1184,76,-129,-91
755,-72,-1584,-1168,72,-133,-92
760,-104,-1584,-1168,65,-138,-90
765,-88,-1600,-1176,58,-139,-90
770,-96,-1600,-1208,50,-139,-93
775,-144,-1584,-1176,41,-139,-94
780,-112,-1560,-1176,32,-136,-96
785,-136,-1560,-1200,25,-130,-100
790,-72,-1616,-1192,19,-125,-104
795,-80,-1600,-1192,17,-116,-107
800,-64,-1600,-1192,12,-104,-112
805,-64,-1584,-1216,13,-92,-118
810,-40,-1608,-1216,13,-80,-121
815,-32,-1592,-1200,15,-69,-123
820,-32,-1600,-1224,17,-56,-126
825,-16,-1592,-1200,19,-46,-127
830,-24,-1584,-1232,22,-34,-128
835,8,-1608,-1224,27,-22,-129
840,-24,-1576,-1240,30,-9,-128
845,0,-1552,-1200,36,4,-125
850,24,-1576,-1200,41,17,-121
855,8,-1552,-1184,44,30,-118
860,48,-1568,-1200,47,43,-113
